,Name,Cat,Last_Price,chg_1d,chg_1m,chg_1q,chg_1y,forward_PE,EPS_growth,Px_vs_10d,Px_vs_20d,Px_vs_100d,Px_vs_200d
UX1,VIX,Global Markets,14.9,2.70%,-7.30%,-10.50%,-14.10%,0,,4.20%,-2.50%,-12.00%,-21.70%
BTCQ5,Bitcoin,Global Markets,93778.81,2.60%,8.50%,-12.00%,-1.30%,0,,5.00%,6.10%,-6.00%,-12.10%
SX5E,Euro Stoxx,Global Markets,5923.69,2.20%,4.80%,7.10%,22.10%,0,,2.80%,3.30%,6.30%,9.10%
RUT,Russell 2000,Global Markets,2547.92,1.60%,1.40%,2.90%,14.20%,0,,0.80%,0.70%,4.30%,12.40%
HSI,Hang Seng,Global Markets,26763.76,1.60%,3.90%,-1.90%,33.20%,0,,3.10%,3.80%,3.10%,8.10%
DJI,Dow Jones Industrial Avg,Global Markets,48977.18,1.20%,2.30%,4.80%,15.10%,0,,1.10%,1.50%,4.80%,9.90%
SHSZ300,China 300,Global Markets,4761.05,0.90%,4.70%,3.00%,21.20%,0,,2.20%,3.20%,5.00%,12.70%
NDX,Nasdaq 100,Global Markets,25401.32,0.80%,-0.80%,2.50%,20.90%,0,,-0.20%,0.00%,2.50%,10.60%
NKY,Nikkei,Global Markets,52191.58,0.70%,4.70%,17.10%,34.50%,0,,3.00%,3.50%,10.00%,22.50%
SPX,S&P 500,Global Markets,6902.05,0.60%,0.80%,2.80%,17.40%,0,,0.20%,0.60%,3.10%,9.60%
AS30,ALL ORDINARIES INDX,Global Markets,9007.8,-0.30%,1.30%,-2.90%,5.40%,0,,-0.20%,0.50%,-0.90%,1.90%
XJO,S&P/ASX 200,Global Markets,8695.3,-0.40%,1.20%,-3.20%,5.00%,0,,-0.30%,0.30%,-1.20%,1.40%
,,,,,,,,,,,,,
AS40,ASX Small Industrials,ASX Indices,10.35,1.70%,-5.80%,-2.10%,-6.10%,0,,6.90%,4.40%,-6.70%,-11.60%
AS34,ASX Mid Cap,ASX Indices,11842.2,0.50%,0.80%,-1.70%,14.70%,0,,0.60%,1.30%,0.70%,6.00%
